Date,Open,High,Low,Close,Adj Close,Volume,Type of industry
07-06-2011,236.509995,239.070007,236.380005,237.649994,222.472824,4063470,
08-06-2011,235.619995,237.199997,234.820007,235.524994,220.483521,5139390,
09-06-2011,235.475006,237.460007,234.149994,236.279999,221.190323,3229940,
10-06-2011,236.800003,237.449997,233.020004,236.244995,221.157578,4371910,
13-06-2011,235.315002,238,234.414993,237.259995,222.107727,3917780,
14-06-2011,237.800003,239.800003,236.550003,238.25,223.034546,6216600,
15-06-2011,238,239.580002,236.699997,237.279999,222.126465,7038940,
16-06-2011,236.399994,237.199997,233.804993,234.300003,219.336807,4212650,
17-06-2011,235.050003,236.610001,233.365005,234.929993,219.926544,7106740,
20-06-2011,234.214996,236.145004,227.195007,229.899994,215.217773,7812850,
21-06-2011,230.199997,234.399994,230.199997,232.554993,217.703217,5078860,
22-06-2011,233.244995,234.779999,231.240005,232.270004,217.436417,3091580,
23-06-2011,231.899994,233.945007,231,233.375,218.470856,4133790,
24-06-2011,234.899994,238.994995,234.154999,238.315002,223.095367,8287730,
27-06-2011,238.300003,243.184998,237.264999,241.615005,226.184586,10256190,
28-06-2011,242.940002,243,240.455002,242.304993,226.830536,6096810,
29-06-2011,243.5,249.899994,243.5,248.910004,233.013718,10252440,
30-06-2011,249.899994,252.494995,247.615005,251.554993,235.489792,13420600,
01-07-2011,254,254.759995,247.800003,250.125,234.151138,6652420,
04-07-2011,253.5,254.199997,251.240005,253.220001,237.048477,7161680,
05-07-2011,252.199997,255.199997,251.449997,254.115005,237.886322,5318640,
06-07-2011,253.5,256,251.5,254.529999,238.274811,5892870,
07-07-2011,254.610001,257.494995,253.414993,256.579987,240.193878,7389020,
08-07-2011,256.600006,258.329987,255.369995,255.914993,239.571335,7544680,
11-07-2011,255.899994,256.410004,251.509995,252.434998,236.313599,3972500,
12-07-2011,251,251,246.020004,247.975006,232.138458,7360900,
13-07-2011,249,252.895004,247.804993,251.970001,235.878296,3720910,
14-07-2011,252.550003,256.649994,249.399994,252.975006,236.819107,4677172,
15-07-2011,253.225006,255.225006,251.5,254.475006,238.223328,2745076,
18-07-2011,255.975006,259.450012,254,257.524994,241.078537,3104948,
19-07-2011,258.75,259.5,254.175003,255.425003,239.11264,8526332,
20-07-2011,258.200012,258.200012,251,251.550003,235.485123,3704322,
21-07-2011,252.399994,252.449997,247.25,248.149994,232.302261,6440512,
22-07-2011,250,253.524994,249.425003,250.774994,234.759628,6317060,
25-07-2011,250.774994,253.25,248.574997,252.600006,236.468079,6685214,
26-07-2011,252.675003,255.100006,247.625,249.074997,233.168182,5290764,
27-07-2011,249.675003,251.975006,246,251.024994,234.993622,5531356,
28-07-2011,249.75,249.75,242.300003,243.649994,228.08963,10708978,
29-07-2011,244.949997,244.949997,240.550003,243.399994,227.855606,5995334,
01-08-2011,246.725006,247.975006,242.25,244,228.417297,4404708,
02-08-2011,243.949997,243.949997,240,241.425003,226.006744,3964988,
03-08-2011,239.350006,244.699997,238,241.024994,225.632294,4165134,
04-08-2011,242.050003,244.449997,237.5,238.225006,223.011124,3659212,
